psu,n,new_ID,governorate,district,name,label
2105076,2,cluster_location_id_0264,anbar,al.falluja,Al-Amirya-Albu Salman,0264 (Al-Amirya-Albu Salman)
2105077,1,cluster_location_id_0265,anbar,al.falluja,Al-Amirya-Tal Ghatas,0265 (Al-Amirya-Tal Ghatas)
2105078,1,cluster_location_id_0266,anbar,al.falluja,Albu Dhaher-Albu Dhaher,0266 (Albu Dhaher-Albu Dhaher)
2105083,1,cluster_location_id_0267,anbar,al.falluja,Hay Al Askari,0267 (Hay Al Askari)
2105086,1,cluster_location_id_0268,anbar,al.falluja,Hay Al Shuhadaa,0268 (Hay Al Shuhadaa)
2105088,2,cluster_location_id_0269,anbar,al.falluja,Al-Ekhaa Compaund,0269 (Al-Ekhaa Compaund)
2105093,1,cluster_location_id_0270,anbar,al.falluja,Al Daffar,0270 (Al Daffar)
2106001,1,cluster_location_id_0271,anbar,haditha,Al Furat Complex,0271 (Al Furat Complex)
2106004,1,cluster_location_id_0272,anbar,haditha,Al Khansaa,0272 (Al Khansaa)
2106007,1,cluster_location_id_0273,anbar,haditha,Albu Hayat,0273 (Albu Hayat)
2106009,1,cluster_location_id_0274,anbar,haditha,Al-Mutanabi,0274 (Al-Mutanabi)
2106011,1,cluster_location_id_0275,anbar,haditha,Bani Dahir,0275 (Bani Dahir)
2106013,1,cluster_location_id_0276,anbar,haditha,Haqlaniyah-Hay Al-Faroq,0276 (Haqlaniyah-Hay Al-Faroq)
2106014,1,cluster_location_id_0277,anbar,haditha,Haqlaniyah-Al shuhadaa,0277 (Haqlaniyah-Al shuhadaa)
2106015,1,cluster_location_id_0278,anbar,haditha,Hay Al Askary,0278 (Hay Al Askary)
2106017,2,cluster_location_id_0279,anbar,haditha,Hay Al Haqlaniyah Qadim,0279 (Hay Al Haqlaniyah Qadim)
2106020,1,cluster_location_id_0280,anbar,haditha,Hay Al Rifay,0280 (Hay Al Rifay)
2106023,1,cluster_location_id_0281,anbar,haditha,Hay Al Saray,0281 (Hay Al Saray)
