,id_sampl,Survey,strata,psu,Place_ID,Governorate,District,Location_name,Arabic_name,Latitude,Longitude,OCHA_admin_1,OCHA_admin_2,OCHA_PCode,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
74,id_1480,6,Al-Shirqat,2802034,21955,Salah al-Din,Al-Shirqat,Hay Al-Khasim Al-Qadem village,قرية الخصم القديمة,35.4860996,43.23726011,IQ-G18,IQ-D106,IQ-P23591,721,Markaz Al-Shirqat,Salah Al-Din,20408,0.035329283,7
75,id_1485,12,Al-Shirqat,2802039,20389,Salah al-Din,Al-Shirqat,Al-Ayitha Village,قريةالعيثة(جرناف شرقي),35.62629653,43.23258938,IQ-G18,IQ-D106,IQ-P23617,436,Markaz Al-Shirqat,Salah Al-Din,20408,0.021364171,13
76,id_1487,6,Al-Shirqat,2802041,29652,Salah al-Din,Al-Shirqat,Hay Al-noor,حي النور,35.49564536,43.24144187,IQ-G18,IQ-D106,,376,Markaz Al-Shirqat,Salah Al-Din,20408,0.018424147,7
77,id_1491,6,Al-Shirqat,2802046,20613,Salah al-Din,Al-Shirqat,Sudayrah Tak Tak Village,قرية سديره طك طك,35.45198,43.293003,IQ-G18,IQ-D106,IQ-P23639,997,Markaz Al-Shirqat,Salah Al-Din,20408,0.048853391,7
78,id_1492,12,Al-Shirqat,2802047,33122,Salah al-Din,Al-Shirqat,Sudayrah Aulya Village,قرية سديره عليا,35.443157,43.295248,,,,1712,Markaz Al-Shirqat,Salah Al-Din,20408,0.083888671,13
79,id_1493,6,Al-Shirqat,2802048,33123,Salah al-Din,Al-Shirqat,Sudayrah Westa Village,قرية سديره وسطى,35.430951,43.291867,,,,1081,Markaz Al-Shirqat,Salah Al-Din,20408,0.052969424,7
80,id_1494,6,Beygee,2802049,33124,Salah al-Din,Al-Shirqat,Al-Salman village,قرية السلمان,35.33025,43.16144,,,,940,Makkhoul,Salah Al-Din,19299,0.048707187,8
81,id_1497,6,Al-Shirqat,2802052,33128,Salah al-Din,Al-Shirqat,Al-Mashhad Village,قرية المشهد,35.560485,43.275106,,,,757,Markaz Al-Shirqat,Salah Al-Din,20408,0.037093297,7
82,id_150,24,Haditha,2106004,24314,Anbar,Haditha,Al Khansaa,حي الخنساء,34.08924465,42.36244631,IQ-G01,IQ-D003,,494,Al-Haqlaniya,Al-Anbar,4694,0.105240733,25
83,id_151,12,Haditha,2106007,23822,Anbar,Haditha,Albu Hayat,قرية البوحياة,34.006133,42.42824,IQ-G01,IQ-D003,IQ-P00184,613,Barwana,Al-Anbar,4694,0.130592245,13
84,id_1510,6,Al-Shirqat,2802068,33609,Salah al-Din,Al-Shirqat,Anig Al-Hawa village,قرية عنك الهوا,35.589093,43.28568,IQ-G18,IQ-D106,,409,Markaz Al-Shirqat,Salah Al-Din,20408,0.02004116,7
85,id_1511,12,Beygee,2803001,24304,Salah al-Din,Baiji,Al Mushhaq Village,قرية المسحك,35.185783,43.401864,IQ-G18,IQ-D101,IQ-P23996,882,Makkhoul,Salah Al-Din,19299,0.04570185,14
86,id_1512,3,Samarra,2803002,24305,Salah al-Din,Baiji,Al Namel Village,قرية النمل,34.333402,43.352386,IQ-G18,IQ-D101,IQ-P23997,260,Dijla,Salah Al-Din,8978,0.028959679,4
87,id_1514,12,Daquq,2803006,22581,Salah al-Din,Baiji,Hay Tal Al Zatar-mahalla 219,حي تل الزعتر م(15-البندري والاشيطح)محلة,34.93565,43.90354,IQ-G18,IQ-D101,IQ-P23281,407,Al-Rashad,Kirkuk,1295,0.314285714,13
88,id_1515,6,Beygee,2803010,22813,Salah al-Din,Baiji,Qaryat Al Sareen,مقاطعة 13 الحجاج والجيسات قرية الصرين,34.86225969,43.50445908,IQ-G18,IQ-D101,IQ-P23301,650,Markaz Beygee,Salah Al-Din,19299,0.033680502,8
89,id_1517,6,Beygee,2803014,20656,Salah al-Din,Baiji,Hay Alasmida,حي الأسمدة,34.948604,43.488443,IQ-G18,IQ-D101,IQ-P23269,175,Al-Synia,Salah Al-Din,19299,0.009067827,8
90,id_152,12,Haditha,2106009,23824,Anbar,Haditha,Al-Mutanabi,المتنبي,34.07904967,42.36811091,IQ-G01,IQ-D003,IQ-P00186,617,Al-Haqlaniya,Al-Anbar,4694,0.131444397,13
91,id_1520,6,Beygee,2803017,25921,Salah al-Din,Baiji,Al Hejaj Village-13,مقاطعة 13 الحجاج والجيسات-قرية الحجاج,34.8278145,43.51271931,IQ-G18,IQ-D101,,1931,Markaz Beygee,Salah Al-Din,19299,0.100056998,8
92,id_1524,12,Beygee,2803022,23435,Salah al-Din,Baiji,Al-Zweeyah Village ,قرية الزوية ,35.2612,43.397525,IQ-G18,IQ-D101,IQ-P23196,2182,Makkhoul,Salah Al-Din,19299,0.113062853,14
93,id_1525,12,Beygee,2803023,32099,Salah al-Din,Baiji,Al-asry Al-Jnoby neighborhood,حي العصري الجنوبي,34.92388889,43.49833333,,,,413,Al-Synia,Salah Al-Din,19299,0.021400073,14
