,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
114,id_1696,12,Khanaqin,2405068,109,11047,Diyala,Khanaqin,Tula Frosh Qtr,حي تولا فروش,34.35788763,45.37659819,165,Markaz Khanaqin,Diyala,2060,0.080097087,13
115,id_1698,12,Khanaqin,2405070,109,24393,Diyala,Khanaqin,Zurab village,قرية زوراب,34.35205123,45.3463412,42,Markaz Khanaqin,Diyala,2060,0.02038835,13
116,id_17,6,Al-Amadiya,1101021,109,22613,Dahuk,Amedi,Azadi,آزادي,37.04681271,43.36187806,9,Sarsank,Duhok,514,0.017509728,7
117,id_1700,6,Khanaqin,2405077,109,27297,Diyala,Khanaqin,Banmil-2 Qtr,حي بانميل-2,34.31747539,45.40246867,60,Markaz Khanaqin,Diyala,2060,0.029126214,7
118,id_1703,6,Khanaqin,2405080,109,10419,Diyala,Khanaqin,Agha and Khalifa,أغا وخليفة,34.33968633,45.37598508,30,Markaz Khanaqin,Diyala,2060,0.014563107,7
119,id_1711,6,Khanaqin,2405142,109,33443,Diyala,Khanaqin,Al Ummal Qtr,حي العمال,34.34729709,45.3967257,7,Markaz Khanaqin,Diyala,2060,0.003398058,7
120,id_1712,6,Kifri,2406002,109,10592,Diyala,Kifri,Qaratappa,قره تبه,34.43031631,44.93440051,125,Qara Tabe,Diyala,2201,0.056792367,7
121,id_1713,12,Kifri,2406004,109,28422,Diyala,Kifri,awbrey,اوبري,34.7036343,44.9681878,96,Markaz Kifri,Diyala,2201,0.043616538,13
122,id_1716,6,Kifri,2406007,109,28425,Diyala,Kifri,emam mohammed,امام محمد,34.6920197,44.9684724,75,Markaz Kifri,Diyala,2201,0.03407542,7
123,id_1721,6,Kifri,2406012,109,28430,Diyala,Kifri,raparin,رابرين,34.6795417,44.9550513,81,Jabarra,Diyala,2201,0.036801454,7
124,id_1722,6,Kifri,2406013,109,28431,Diyala,Kifri,azadi,ازدي,34.6832676,44.9627008,64,Jabarra,Diyala,2201,0.029077692,7
125,id_1725,12,Kifri,2406016,109,11023,Diyala,Kifri,sar qala,سةرقةلا,34.7427975,45.0653099,153,Markaz Kifri,Diyala,2201,0.069513857,13
126,id_1728,6,Kifri,2406019,109,33394,Diyala,Kifri,shahidan,شهيدان,34.6841669,44.9517544,53,Jabarra,Diyala,2201,0.024079964,7
127,id_174,18,Erbil,1202006,109,13685,Erbil,Erbil,Andazyaran,ئه ندازياران,36.2005896,44.1214597,390,Markaz Erbil,Erbil,26281,0.014839618,19
128,id_1740,6,Al-Hindiya,2502018,109,14323,Kerbala,Al-Hindiya,Al-Hindiya-Hay Al-Amel,الهندية-حي العامل,32.54173613,44.21706586,22,Markaz Al-Hindiya,Kerbala,853,0.025791325,7
129,id_1742,6,Al-Hindiya,2502023,109,27335,Kerbala,Al-Hindiya,Kareat al jubur,قرية الجبور,32.47445729,44.1558794,38,Markaz Al-Hindiya,Kerbala,853,0.044548652,7
130,id_1744,18,Al-Hindiya,2502027,109,27336,Kerbala,Al-Hindiya,Al abodea,العبودية,32.49884827,44.13906288,69,Markaz Al-Hindiya,Kerbala,853,0.080890973,19
131,id_1745,6,Al-Hindiya,2502036,109,25995,Kerbala,Al-Hindiya,Al Jedar Al Gharbi,الجدار الغربي,32.51026099,44.12881749,45,Markaz Al-Hindiya,Kerbala,853,0.052754982,7
132,id_1748,6,Al-Hindiya,2502043,109,25994,Kerbala,Al-Hindiya,Albu Zagam,البوزكم,32.48239716,44.16793273,33,Markaz Al-Hindiya,Kerbala,853,0.038686987,7
133,id_1749,12,Al-Hindiya,2502046,109,14097,Kerbala,Al-Hindiya,Al-Jadwal Al-Ghrabi-Al Askary,العسكري,32.49437466,44.19525134,20,Markaz Al-Hindiya,Kerbala,853,0.023446659,13
134,id_1750,84,Al-Hindiya,2502047,109,26009,Kerbala,Al-Hindiya,Al-Khayrat,الخيرات,32.3545902,44.23748487,476,Markaz Al-Hindiya,Kerbala,853,0.558030481,87
