"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var204","lsg_health","ones",NA,"ones",3.96703296703297,NA,3.92147021786302,4.01259571620292,"district","sinjar"
"dependent.var205","lsg_health","ones",NA,"ones",1.77777777777778,NA,1.48969015101465,2.0658654045409,"district","al.diwaniya"
"dependent.var206","lsg_health","ones",NA,"ones",1.5948275862069,NA,1.37621869141055,1.81343648100325,"district","kerbela"
"dependent.var207","lsg_health","ones",NA,"ones",2.61016949152542,NA,2.38916124733994,2.8311777357109,"district","al.hindiya"
"dependent.var208","lsg_health","ones",NA,"ones",1.55,NA,1.37994634824791,1.72005365175209,"district","al.ramadi"
"dependent.var209","lsg_health","ones",NA,"ones",3.11821086261981,NA,2.96656248735992,3.26985923787969,"district","tikrit"
"dependent.var210","lsg_health","ones",NA,"ones",2.04347826086956,NA,1.88125093824661,2.20570558349252,"district","erbil"
"dependent.var211","lsg_health","ones",NA,"ones",3.30890052356021,NA,3.12928486968871,3.48851617743171,"district","tilkaef"
"dependent.var212","lsg_health","ones",NA,"ones",2.24736842105263,NA,2.09851076546821,2.39622607663705,"district","al.shirqat"
"dependent.var213","lsg_health","ones",NA,"ones",2.69456066945607,NA,2.56108693579183,2.8280344031203,"district","kirkuk"
"dependent.var214","lsg_health","ones",NA,"ones",4,NA,4,4,"district","samarra"
"dependent.var215","lsg_health","ones",NA,"ones",2.6027397260274,NA,2.25707743870696,2.94840201334783,"district","chamchamal"
"dependent.var216","lsg_health","ones",NA,"ones",3.49107142857143,NA,3.28160804799532,3.70053480914754,"district","al.hawiga"
"dependent.var217","lsg_health","ones",NA,"ones",1.16901408450704,NA,1.05483965829855,1.28318851071553,"district","al.risafa"
"dependent.var218","lsg_health","ones",NA,"ones",1.93939393939394,NA,1.66393528821889,2.21485259056899,"district","shaqlawa"
"dependent.var219","lsg_health","ones",NA,"ones",1.3030303030303,NA,1.12404551710775,1.48201508895285,"district","al.kut"
"dependent.var220","lsg_health","ones",NA,"ones",3.1244019138756,NA,2.93905422831813,3.30974959943307,"district","al.sulaymaniyah"
"dependent.var221","lsg_health","ones",NA,"ones",1.72222222222222,NA,1.47919926482181,1.96524517962263,"district","duhok"
"dependent.var222","lsg_health","ones",NA,"ones",1.54761904761905,NA,1.344464604775,1.7507734904631,"district","koysinjaq"
"dependent.var223","lsg_health","ones",NA,"ones",2.65957446808511,NA,2.41251369769196,2.90663523847825,"district","heet"
"dependent.var224","lsg_health","ones",NA,"ones",3.7125748502994,NA,3.57825280517423,3.84689689542458,"district","telafar"
